datestart,ADBE,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BMC,BRCM,CA,CELG,CERN,CHKP,CHRW,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DELL,DLTR,DTV,EA,EBAY,ESRX,EXPE,FAST,FFIV,FISV,FLEX,FLIR,FSLR,GILD,GMCR,GRMN,HSIC,ILMN,INFY,INTU,ISRG,JOY,KLAC,LIFE,LINTA,LLTC,LRCX,MAT,MCHP,MRVL,MU,MXIM,MYL,NFLX,NIHD,NTAP,NVDA,NWSA,ORCL,PAYX,PCAR,PCLN,QCOM,ROST,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TEVA,URBN,VMED,VOD,VRSN,VRTX,WCRX,WFM,WYNN,XLNX,XRAY,YHOO
22-Aug-12,6001,16,445,163,1453,12,3,25,72567,8,489,0,295,4,96,111,5,15,129,1,3,3682,2604,2295,1,111,594,20074,704,2723,363,29189,33,841,29,23,45,14,6,58,23,58,1837,3,174,211,259,1,4,0,19,37,2,6,1069,5,8,5,5,62,12601,1,284,894,194,3278,41,23,105,722,13,50402,25,0,145,1325,2667,251,51,401,3,1760,3345,4187,28,8,11,1554,2,22,8,33752
23-Aug-12,5780,14,760,87,1243,15,23,26,72306,6,408,0,487,8,14,115,4,11,128,1,1,4892,2689,2555,5,106,474,18458,544,9437,196,24782,26,386,21,17,27,20,0,190,27,62,1819,41,136,237,191,19,10,0,21,23,4,0,779,12,3,8,3,193,13300,0,354,837,1118,3160,16,16,114,1377,17,43582,8,0,40,1059,2462,282,79,424,4,1540,486,3846,20,2,1,1517,13,25,5,33684
24-Aug-12,5651,3,1290,85,1508,5,10,26,77003,3,530,0,334,3,11,42,0,14,133,3,1,3470,3290,2273,2,79,398,15463,531,1677,199,23513,48,231,21,19,27,36,7,68,21,53,1586,19,154,152,175,2,16,0,10,42,3,4,612,5,2,4,0,69,12424,0,240,648,665,3234,29,31,153,805,15,42509,14,0,54,984,2779,344,24,352,2,1708,354,3291,16,5,1,1498,5,15,6,33644
29-Aug-12,5386,7,479,108,1582,16,11,127,81447,2,621,0,1484,45,10,78,2,10,180,3,4,3213,3181,2890,5,80,621,18334,461,7553,249,26018,25,1413,33,8,78,49,0,69,3,58,2070,23,208,150,304,0,211,0,19,141,2,1,606,3,1,2,3,88,12873,0,293,1725,68,3969,24,17,81,1348,10,46739,54,0,73,1177,5101,32,4,633,2,1782,845,3801,23,4,5,1630,62,36,4,41717
31-Aug-12,5000,17,410,171,1529,8,2,58,85185,5,557,0,318,2,8,57,2,6,124,5,2,3187,3206,2238,1,68,407,19471,563,2118,422,25820,56,286,17,8,38,18,3,177,19,56,1531,15,194,204,119,2,22,0,13,5,4,36,429,0,0,1,0,115,11048,1,167,784,41,5623,30,15,127,509,21,45018,26,0,27,1297,4787,18,4,357,1,1588,312,3702,18,2,2,1371,3,46,6,34748
5-Sep-12,6197,12,799,138,1485,140,6,34,84559,7,396,0,596,5,17,396,0,10,139,4,2,3329,2302,2405,1,66,785,19254,358,1818,363,26763,11,1401,32,6,22,17,4,43,37,44,1787,8,177,253,298,1,2,0,39,11,1,4,972,5,1,7,27,63,13549,0,269,1161,838,6608,25,30,121,520,14,78120,36,0,46,1400,4923,15,3,525,4,1394,316,5048,16,1,38,1628,0,23,7,33378
7-Sep-12,5654,14,1033,51,1907,25,2,46,108756,13,666,0,355,8,2,122,11,59,149,5,3,3190,2268,2242,2,81,438,17540,442,2279,282,23086,23,205,38,14,27,25,2,32,15,116,1727,13,334,290,158,2,4,0,19,17,1,2,413,5,7,11,2,398,10142,1,237,2059,250,3071,13,23,218,131,9,45708,31,0,41,1108,3774,9,5,730,2,1041,487,3319,12,9,10,1452,13,32,5,35958
10-Sep-12,5191,37,541,124,1605,15,14,89,92114,5,435,0,323,106,13,76,8,45,159,1,3,3013,1978,3323,2,109,486,19913,402,1594,759,26619,29,235,25,18,248,26,8,82,13,100,1841,24,193,1198,674,0,6,0,11,16,4,15,478,7,1,7,5,83,12010,2,387,956,323,3364,24,18,93,142,8,45110,11,0,48,1129,2843,10,2,406,0,1182,369,2941,102,2,0,1337,9,62,8,41646
12-Sep-12,5149,23,520,106,1502,1,12,61,80666,15,483,0,331,38,9,67,2,9,149,1,5,3073,2069,2901,6,78,500,22311,570,1725,710,27408,23,956,47,11,50,25,3,182,9,78,1658,2,242,184,265,3,6,0,5,115,2,14,354,1,1,10,16,50,12063,0,348,909,232,3074,49,50,100,1614,16,49804,29,0,80,1105,2216,21,8,371,2,1124,366,5843,28,3,4,2112,7,25,13,34909
14-Sep-12,4021,8,515,230,1628,13,7,42,86736,15,332,0,205,35,5,37,2,10,139,1,1,2748,2719,2121,2,90,408,15443,609,1903,1051,27993,37,332,19,8,37,18,8,105,31,56,1845,14,154,207,184,5,15,0,24,28,1,1,277,3,1,4,4,79,14699,1,231,1793,123,2857,14,18,120,488,20,49690,24,0,52,1035,3176,28,3,333,27,1451,397,4937,27,4,14,1693,8,29,3,30948
